RESEARCHER,Title,School Year,Published/Presented,Abstract,Keywords,Link
JASMIN A. CALIWAG,ROADWISE: Infrastructure Design Evaluation and Reporting System,2023,1,"Road safety has become a key concern for traffic management departments worldwide. The study has been conducted on Road safety evaluations to increase the level of road safety and lower the frequency of traffic accidents and fatalities. Likewise, Road safety assessment is a valuable strategy for promoting safe mobility and enabling the development of crash prediction models. Incident catastrophes in the Philippines, specifically in the National Capital Region, are significantly increasing; Infrastructure Design Evaluation and Reporting System (ROADWISE) is a web application utilizing a trained machine learning model to report and evaluate road quality. The research study utilized Information and Communications Technology by combining IoT or Internet of Things devices - The Ground Penetrating Radar and Unmanned Aerial System or a drone that includes its G.P.S. module, ground control module, transmission systems, camera, and all the software components to detect road infrastructure. With drones and GPRs, the system can easily cover areas and autonomously send its captured data to the cloud to start the machine learning process that produces the results via dashboard analytics. The dashboard will display an evaluation of the roads or areas based on the assessment of the system. In doing so, concerned agencies and Local Government Units can check which road is to be prioritized for road repair, providing a solution for road assessment.","road infrastructure system, road quality, road assessment, internet of things, machine learning, cloud platform",https://drive.google.com/file/d/18QOJleiBRN3xv8HBabbpLWyzH0VLRrRm/view
NIKKO E. VILLANUEVA,ROADWISE: Infrastructure Design Evaluation and Reporting System,2023,1,"Road safety has become a key concern for traffic management departments worldwide. The study has been conducted on Road safety evaluations to increase the level of road safety and lower the frequency of traffic accidents and fatalities. Likewise, Road safety assessment is a valuable strategy for promoting safe mobility and enabling the development of crash prediction models. Incident catastrophes in the Philippines, specifically in the National Capital Region, are significantly increasing; Infrastructure Design Evaluation and Reporting System (ROADWISE) is a web application utilizing a trained machine learning model to report and evaluate road quality. The research study utilized Information and Communications Technology by combining IoT or Internet of Things devices - The Ground Penetrating Radar and Unmanned Aerial System or a drone that includes its G.P.S. module, ground control module, transmission systems, camera, and all the software components to detect road infrastructure. With drones and GPRs, the system can easily cover areas and autonomously send its captured data to the cloud to start the machine learning process that produces the results via dashboard analytics. The dashboard will display an evaluation of the roads or areas based on the assessment of the system. In doing so, concerned agencies and Local Government Units can check which road is to be prioritized for road repair, providing a solution for road assessment.","road infrastructure system, road quality, road assessment, internet of things, machine learning, cloud platform",https://drive.google.com/file/d/18QOJleiBRN3xv8HBabbpLWyzH0VLRrRm/view
JASMIN A. CALIWAG,Convolutional Neural Networks for Automated Retrieval of Fuel Price Data from Captured Images at Gas Stations,2023,1,"Fuel price fluctuations, including both increases and decreases, are a common occurrence when it comes to driving a vehicle. The Waze navigation application provides a platform for users to input and share fuel prices through crowd-sourced data manually. In a recent research study, an automated approach was developed to supply accurate fuel price information. This approach involved training a Single Shot MultiBox Detector (SSD) to recognize fuel-related signs, and Google's Cloud Vision API was employed for Optical Character Recognition (OCR). These technologies collectively offered an efficient means for users to contribute to and access crowd-sourced fuel price details. A web application was created to extract fuel prices from these signs, achieving a notable Mean Average Precision (mAP) score of 66.6% through the trained SSD model. Through user evaluations, the research demonstrated a mean average satisfaction score of 4.6, indicating alignment with ISO 25010 and 25012 standards encompassing functional suitability, performance efficiency, and accuracy. The research study effectively designed a web-based solution that proficiently extracts fuel prices from images of fuel station price boards using a combination of object detection and OCR.","fuel price, cnn, ocr, map, web application, image processing, cloud vision, ssd algorithm",https://drive.google.com/file/d/1yzE3O0feJWEXyXmoFxGJ2w_RUCIPE6I0/view
JANICE A. CAPULE,Convolutional Neural Networks for Automated Retrieval of Fuel Price Data from Captured Images at Gas Stations,2023,1,"Fuel price fluctuations, including both increases and decreases, are a common occurrence when it comes to driving a vehicle. The Waze navigation application provides a platform for users to input and share fuel prices through crowd-sourced data manually. In a recent research study, an automated approach was developed to supply accurate fuel price information. This approach involved training a Single Shot MultiBox Detector (SSD) to recognize fuel-related signs, and Google's Cloud Vision API was employed for Optical Character Recognition (OCR). These technologies collectively offered an efficient means for users to contribute to and access crowd-sourced fuel price details. A web application was created to extract fuel prices from these signs, achieving a notable Mean Average Precision (mAP) score of 66.6% through the trained SSD model. Through user evaluations, the research demonstrated a mean average satisfaction score of 4.6, indicating alignment with ISO 25010 and 25012 standards encompassing functional suitability, performance efficiency, and accuracy. The research study effectively designed a web-based solution that proficiently extracts fuel prices from images of fuel station price boards using a combination of object detection and OCR.","fuel price, cnn, ocr, map, web application, image processing, cloud vision, ssd algorithm",https://drive.google.com/file/d/1yzE3O0feJWEXyXmoFxGJ2w_RUCIPE6I0/view
KAREN JOYCE S. ISON,Convolutional Neural Networks for Automated Retrieval of Fuel Price Data from Captured Images at Gas Stations,2023,1,"Fuel price fluctuations, including both increases and decreases, are a common occurrence when it comes to driving a vehicle. The Waze navigation application provides a platform for users to input and share fuel prices through crowd-sourced data manually. In a recent research study, an automated approach was developed to supply accurate fuel price information. This approach involved training a Single Shot MultiBox Detector (SSD) to recognize fuel-related signs, and Google's Cloud Vision API was employed for Optical Character Recognition (OCR). These technologies collectively offered an efficient means for users to contribute to and access crowd-sourced fuel price details. A web application was created to extract fuel prices from these signs, achieving a notable Mean Average Precision (mAP) score of 66.6% through the trained SSD model. Through user evaluations, the research demonstrated a mean average satisfaction score of 4.6, indicating alignment with ISO 25010 and 25012 standards encompassing functional suitability, performance efficiency, and accuracy. The research study effectively designed a web-based solution that proficiently extracts fuel prices from images of fuel station price boards using a combination of object detection and OCR.","fuel price, cnn, ocr, map, web application, image processing, cloud vision, ssd algorithm",https://drive.google.com/file/d/1yzE3O0feJWEXyXmoFxGJ2w_RUCIPE6I0/view
KARREN V. DE LARA,Convolutional Neural Networks for Automated Retrieval of Fuel Price Data from Captured Images at Gas Stations,2023,1,"Fuel price fluctuations, including both increases and decreases, are a common occurrence when it comes to driving a vehicle. The Waze navigation application provides a platform for users to input and share fuel prices through crowd-sourced data manually. In a recent research study, an automated approach was developed to supply accurate fuel price information. This approach involved training a Single Shot MultiBox Detector (SSD) to recognize fuel-related signs, and Google's Cloud Vision API was employed for Optical Character Recognition (OCR). These technologies collectively offered an efficient means for users to contribute to and access crowd-sourced fuel price details. A web application was created to extract fuel prices from these signs, achieving a notable Mean Average Precision (mAP) score of 66.6% through the trained SSD model. Through user evaluations, the research demonstrated a mean average satisfaction score of 4.6, indicating alignment with ISO 25010 and 25012 standards encompassing functional suitability, performance efficiency, and accuracy. The research study effectively designed a web-based solution that proficiently extracts fuel prices from images of fuel station price boards using a combination of object detection and OCR.","fuel price, cnn, ocr, map, web application, image processing, cloud vision, ssd algorithm",https://drive.google.com/file/d/1yzE3O0feJWEXyXmoFxGJ2w_RUCIPE6I0/view
MELROSE Q. LUMBAO,Convolutional Neural Networks for Automated Retrieval of Fuel Price Data from Captured Images at Gas Stations,2023,1,"Fuel price fluctuations, including both increases and decreases, are a common occurrence when it comes to driving a vehicle. The Waze navigation application provides a platform for users to input and share fuel prices through crowd-sourced data manually. In a recent research study, an automated approach was developed to supply accurate fuel price information. This approach involved training a Single Shot MultiBox Detector (SSD) to recognize fuel-related signs, and Google's Cloud Vision API was employed for Optical Character Recognition (OCR). These technologies collectively offered an efficient means for users to contribute to and access crowd-sourced fuel price details. A web application was created to extract fuel prices from these signs, achieving a notable Mean Average Precision (mAP) score of 66.6% through the trained SSD model. Through user evaluations, the research demonstrated a mean average satisfaction score of 4.6, indicating alignment with ISO 25010 and 25012 standards encompassing functional suitability, performance efficiency, and accuracy. The research study effectively designed a web-based solution that proficiently extracts fuel prices from images of fuel station price boards using a combination of object detection and OCR.","fuel price, cnn, ocr, map, web application, image processing, cloud vision, ssd algorithm",https://drive.google.com/file/d/1yzE3O0feJWEXyXmoFxGJ2w_RUCIPE6I0/view
PAULA JEAN C. MENDOZA,Facilitating Comprehension: An NLP-Based Converter for 7th Grade Students to Transform English Sentences into Mathematical Expressions,2023,1,"Based on research findings, a significant obstacle for students in learning mathematics is their difficulty understanding word problems. Converting verbal explanations into mathematical equations becomes difficult, especially when several procedures are necessary. Thus, this study developed a supplemental tool for grade 7 students that is designed to assist them in effectively converting English language phrases into mathematical expressions, thereby enhancing their learning experience. This study encompasses both a web application and a translation algorithm. The web application is an educational tool that delivers content that teaches the mathematical concept of ""Translating English Phrases and Sentences into Mathematical Equations and Statements."" Meanwhile, the translation algorithm, developed using Stanza, a Python Natural Language Processing (NLP) package, is tasked with transforming given English mathematical phrases into their corresponding mathematical expressions. The system was created using the Rapid Application Development (RAD) software development model to implement progressive improvements within three development iterations, and it was then assessed for functional suitability, usability, and reliability using the ISO/IEC - 25010 System and software quality model. The outcomes of the survey evaluation revealed that the system proved to be fitting for learning math phrase translations. It proved dependability, convenience, and usability. Furthermore, the algorithm's precision was evaluated, with 175 predictions yielding an accuracy rate of 81.14%. In summary, this study introduces a valuable resource for math educators and learners, enhancing their comprehension of math phrase translations.","natural language processing, math phrases, phrase and sentence conversion, math translation, cfg, stanza, python",https://drive.google.com/file/d/1k6YQ7CQP1R-3WmpL_sSUxtaOhHkGA9Vw/view
JASMIN A. CALIWAG,Facilitating Comprehension: An NLP-Based Converter for 7th Grade Students to Transform English Sentences into Mathematical Expressions,2023,1,"Based on research findings, a significant obstacle for students in learning mathematics is their difficulty understanding word problems. Converting verbal explanations into mathematical equations becomes difficult, especially when several procedures are necessary. Thus, this study developed a supplemental tool for grade 7 students that is designed to assist them in effectively converting English language phrases into mathematical expressions, thereby enhancing their learning experience. This study encompasses both a web application and a translation algorithm. The web application is an educational tool that delivers content that teaches the mathematical concept of ""Translating English Phrases and Sentences into Mathematical Equations and Statements."" Meanwhile, the translation algorithm, developed using Stanza, a Python Natural Language Processing (NLP) package, is tasked with transforming given English mathematical phrases into their corresponding mathematical expressions. The system was created using the Rapid Application Development (RAD) software development model to implement progressive improvements within three development iterations, and it was then assessed for functional suitability, usability, and reliability using the ISO/IEC - 25010 System and software quality model. The outcomes of the survey evaluation revealed that the system proved to be fitting for learning math phrase translations. It proved dependability, convenience, and usability. Furthermore, the algorithm's precision was evaluated, with 175 predictions yielding an accuracy rate of 81.14%. In summary, this study introduces a valuable resource for math educators and learners, enhancing their comprehension of math phrase translations.","natural language processing, math phrases, phrase and sentence conversion, math translation, cfg, stanza, python",https://drive.google.com/file/d/1k6YQ7CQP1R-3WmpL_sSUxtaOhHkGA9Vw/view
ROXANNE A. PAGADUAN,Facilitating Comprehension: An NLP-Based Converter for 7th Grade Students to Transform English Sentences into Mathematical Expressions,2023,1,"Based on research findings, a significant obstacle for students in learning mathematics is their difficulty understanding word problems. Converting verbal explanations into mathematical equations becomes difficult, especially when several procedures are necessary. Thus, this study developed a supplemental tool for grade 7 students that is designed to assist them in effectively converting English language phrases into mathematical expressions, thereby enhancing their learning experience. This study encompasses both a web application and a translation algorithm. The web application is an educational tool that delivers content that teaches the mathematical concept of ""Translating English Phrases and Sentences into Mathematical Equations and Statements."" Meanwhile, the translation algorithm, developed using Stanza, a Python Natural Language Processing (NLP) package, is tasked with transforming given English mathematical phrases into their corresponding mathematical expressions. The system was created using the Rapid Application Development (RAD) software development model to implement progressive improvements within three development iterations, and it was then assessed for functional suitability, usability, and reliability using the ISO/IEC - 25010 System and software quality model. The outcomes of the survey evaluation revealed that the system proved to be fitting for learning math phrase translations. It proved dependability, convenience, and usability. Furthermore, the algorithm's precision was evaluated, with 175 predictions yielding an accuracy rate of 81.14%. In summary, this study introduces a valuable resource for math educators and learners, enhancing their comprehension of math phrase translations.","natural language processing, math phrases, phrase and sentence conversion, math translation, cfg, stanza, python",https://drive.google.com/file/d/1k6YQ7CQP1R-3WmpL_sSUxtaOhHkGA9Vw/view
GERALD T. CAYABYAB,Facilitating Comprehension: An NLP-Based Converter for 7th Grade Students to Transform English Sentences into Mathematical Expressions,2023,1,"Based on research findings, a significant obstacle for students in learning mathematics is their difficulty understanding word problems. Converting verbal explanations into mathematical equations becomes difficult, especially when several procedures are necessary. Thus, this study developed a supplemental tool for grade 7 students that is designed to assist them in effectively converting English language phrases into mathematical expressions, thereby enhancing their learning experience. This study encompasses both a web application and a translation algorithm. The web application is an educational tool that delivers content that teaches the mathematical concept of ""Translating English Phrases and Sentences into Mathematical Equations and Statements."" Meanwhile, the translation algorithm, developed using Stanza, a Python Natural Language Processing (NLP) package, is tasked with transforming given English mathematical phrases into their corresponding mathematical expressions. The system was created using the Rapid Application Development (RAD) software development model to implement progressive improvements within three development iterations, and it was then assessed for functional suitability, usability, and reliability using the ISO/IEC - 25010 System and software quality model. The outcomes of the survey evaluation revealed that the system proved to be fitting for learning math phrase translations. It proved dependability, convenience, and usability. Furthermore, the algorithm's precision was evaluated, with 175 predictions yielding an accuracy rate of 81.14%. In summary, this study introduces a valuable resource for math educators and learners, enhancing their comprehension of math phrase translations.","natural language processing, math phrases, phrase and sentence conversion, math translation, cfg, stanza, python",https://drive.google.com/file/d/1k6YQ7CQP1R-3WmpL_sSUxtaOhHkGA9Vw/view
HAZEL SAN PATILANO,Facilitating Comprehension: An NLP-Based Converter for 7th Grade Students to Transform English Sentences into Mathematical Expressions,2023,1,"Based on research findings, a significant obstacle for students in learning mathematics is their difficulty understanding word problems. Converting verbal explanations into mathematical equations becomes difficult, especially when several procedures are necessary. Thus, this study developed a supplemental tool for grade 7 students that is designed to assist them in effectively converting English language phrases into mathematical expressions, thereby enhancing their learning experience. This study encompasses both a web application and a translation algorithm. The web application is an educational tool that delivers content that teaches the mathematical concept of ""Translating English Phrases and Sentences into Mathematical Equations and Statements."" Meanwhile, the translation algorithm, developed using Stanza, a Python Natural Language Processing (NLP) package, is tasked with transforming given English mathematical phrases into their corresponding mathematical expressions. The system was created using the Rapid Application Development (RAD) software development model to implement progressive improvements within three development iterations, and it was then assessed for functional suitability, usability, and reliability using the ISO/IEC - 25010 System and software quality model. The outcomes of the survey evaluation revealed that the system proved to be fitting for learning math phrase translations. It proved dependability, convenience, and usability. Furthermore, the algorithm's precision was evaluated, with 175 predictions yielding an accuracy rate of 81.14%. In summary, this study introduces a valuable resource for math educators and learners, enhancing their comprehension of math phrase translations.","natural language processing, math phrases, phrase and sentence conversion, math translation, cfg, stanza, python",https://drive.google.com/file/d/1k6YQ7CQP1R-3WmpL_sSUxtaOhHkGA9Vw/view
JOHN MICHAEL F. DE BORJA,Facilitating Comprehension: An NLP-Based Converter for 7th Grade Students to Transform English Sentences into Mathematical Expressions,2023,1,"Based on research findings, a significant obstacle for students in learning mathematics is their difficulty understanding word problems. Converting verbal explanations into mathematical equations becomes difficult, especially when several procedures are necessary. Thus, this study developed a supplemental tool for grade 7 students that is designed to assist them in effectively converting English language phrases into mathematical expressions, thereby enhancing their learning experience. This study encompasses both a web application and a translation algorithm. The web application is an educational tool that delivers content that teaches the mathematical concept of ""Translating English Phrases and Sentences into Mathematical Equations and Statements."" Meanwhile, the translation algorithm, developed using Stanza, a Python Natural Language Processing (NLP) package, is tasked with transforming given English mathematical phrases into their corresponding mathematical expressions. The system was created using the Rapid Application Development (RAD) software development model to implement progressive improvements within three development iterations, and it was then assessed for functional suitability, usability, and reliability using the ISO/IEC - 25010 System and software quality model. The outcomes of the survey evaluation revealed that the system proved to be fitting for learning math phrase translations. It proved dependability, convenience, and usability. Furthermore, the algorithm's precision was evaluated, with 175 predictions yielding an accuracy rate of 81.14%. In summary, this study introduces a valuable resource for math educators and learners, enhancing their comprehension of math phrase translations.","natural language processing, math phrases, phrase and sentence conversion, math translation, cfg, stanza, python",https://drive.google.com/file/d/1k6YQ7CQP1R-3WmpL_sSUxtaOhHkGA9Vw/view
ROSELIA C. MORCO,CMATA: Cyber Trafficking Monitoring and Tracking Prototype,2023,1,"With the evolution of the Internet, trafficking has broader and borderless operations targeting virtual spaces where individuals of different ages can be subjected to cyber trafficking. Despite the government's efforts to combat cyber trafficking, the growing number of cases is alarming. One apparent reason is that traffickers keep advancing their technical strategies, so it becomes more challenging for law enforcement to investigate complex and transnational organized crime. Thus, this paper presents the development of a cyber monitoring and trafficking web application integrated with a web scraper that identifies websites with a high probability of being used in cyber trafficking activities. The web scraper was written using Beautiful Soup. With the result of the sensitivity analysis conducted in the study, beautiful soup was determined to be the most suitable tool for developing web scraping algorithms based on performance, portability, and accuracy compared with the Scrapy and Selenium tools. Upon the initial testing of the developed prototyped in tracking and monitoring suspected cyber traffickers, it was able to scrape 45 potential trafficking websites. The initial testing result shows that this kind of application integrated with a scraper to identify cyber traffickers with a visualization dashboard can help law enforcement officers identify, track, and monitor online traffickers easily and quickly.","Beautiful soup, selenium, scrapy, cyber trafficking, cyber trafficking monitoring application, scraping tools, selenium, web scraping",CMATA: Cyber Trafficking Monitoring and Tracking Prototype - Volume 12 Number 1 (Mar. 2023) - IJFCC
MAUEE CZELSIE SAMANIEGO,CMATA: Cyber Trafficking Monitoring and Tracking Prototype,2023,1,"With the evolution of the Internet, trafficking has broader and borderless operations targeting virtual spaces where individuals of different ages can be subjected to cyber trafficking. Despite the government's efforts to combat cyber trafficking, the growing number of cases is alarming. One apparent reason is that traffickers keep advancing their technical strategies, so it becomes more challenging for law enforcement to investigate complex and transnational organized crime. Thus, this paper presents the development of a cyber monitoring and trafficking web application integrated with a web scraper that identifies websites with a high probability of being used in cyber trafficking activities. The web scraper was written using Beautiful Soup. With the result of the sensitivity analysis conducted in the study, beautiful soup was determined to be the most suitable tool for developing web scraping algorithms based on performance, portability, and accuracy compared with the Scrapy and Selenium tools. Upon the initial testing of the developed prototyped in tracking and monitoring suspected cyber traffickers, it was able to scrape 45 potential trafficking websites. The initial testing result shows that this kind of application integrated with a scraper to identify cyber traffickers with a visualization dashboard can help law enforcement officers identify, track, and monitor online traffickers easily and quickly.","Beautiful soup, selenium, scrapy, cyber trafficking, cyber trafficking monitoring application, scraping tools, selenium, web scraping",CMATA: Cyber Trafficking Monitoring and Tracking Prototype - Volume 12 Number 1 (Mar. 2023) - IJFCC
RAMON CHRISTUS TOMAQUIN,CMATA: Cyber Trafficking Monitoring and Tracking Prototype,2023,1,"With the evolution of the Internet, trafficking has broader and borderless operations targeting virtual spaces where individuals of different ages can be subjected to cyber trafficking. Despite the government's efforts to combat cyber trafficking, the growing number of cases is alarming. One apparent reason is that traffickers keep advancing their technical strategies, so it becomes more challenging for law enforcement to investigate complex and transnational organized crime. Thus, this paper presents the development of a cyber monitoring and trafficking web application integrated with a web scraper that identifies websites with a high probability of being used in cyber trafficking activities. The web scraper was written using Beautiful Soup. With the result of the sensitivity analysis conducted in the study, beautiful soup was determined to be the most suitable tool for developing web scraping algorithms based on performance, portability, and accuracy compared with the Scrapy and Selenium tools. Upon the initial testing of the developed prototyped in tracking and monitoring suspected cyber traffickers, it was able to scrape 45 potential trafficking websites. The initial testing result shows that this kind of application integrated with a scraper to identify cyber traffickers with a visualization dashboard can help law enforcement officers identify, track, and monitor online traffickers easily and quickly.","Beautiful soup, selenium, scrapy, cyber trafficking, cyber trafficking monitoring application, scraping tools, selenium, web scraping",CMATA: Cyber Trafficking Monitoring and Tracking Prototype - Volume 12 Number 1 (Mar. 2023) - IJFCC
ROSELIA C. MORCO,Development of Virtual Support Application for Sexual and Gender-Based Violence Victims,2022,1,"Sexual and Gender-Based Violence (SGBV) is an issue of a serious global concern. SGBV affects everyone and has severe implications on an individual's physical, mental, emotional, and sexual health. Cases of Sexual and Gender-based violence (SGBV) rise especially during pandemic. There was an increased domestic violence due to women being trapped with a perpetrator, often without the means of accessing support (Wendoh, 2020). Due to heightened restrictions to leave homes, many victims have limited means to seek social and professional care and support. Moreover, government and non-government services could not also prioritize their SGBV responses due to lockdown. Thus, this study aimed to develop a Virtual Support Web Application that would inform and guide victims using SGBV -related educational materials and aid victims in reaching out to organizations and law enforcement agencies for help and assistance. The proposed application is a digital-enabled multifunctional SGBV response tool called TARA. It also utilizes web analytics to create data maps on SGBV and intends to assist by providing access to Self-Care and Psycho-Social Services. TARA aims to become the key instrument for raising awareness, providing a directory and direction to law enforcement agencies to deal with new and future SGBV cases. The evaluation shows positive responses from IT and non-IT professional respondents. Evaluating the functionality, usability, and efficiency, users were satisfied with the application as the mean average of the evaluation result is interpreted as strongly agree, which is deemed satisfactory in becoming a platform for SGBV in the Philippines","tara, progressive web application, sexual and gender-based violence, agile development lifecycle, coalition against trafficking in women - asia pacific",https://ieeexplore.ieee.org/abstract/document/9915252?casa_token=-vnEOMBuA6oAAAAA:B3Iw8pvmpVjFVPTDpRNNK6TX7swDNaJpfPG4UP0GwIAO3phFijyJuqHy_5lB7LNLQ7X242peoGAt5B0
MAUEE CZELSIE SAMANIEGO,Development of Virtual Support Application for Sexual and Gender-Based Violence Victims,2022,1,"Sexual and Gender-Based Violence (SGBV) is an issue of a serious global concern. SGBV affects everyone and has severe implications on an individual's physical, mental, emotional, and sexual health. Cases of Sexual and Gender-based violence (SGBV) rise especially during pandemic. There was an increased domestic violence due to women being trapped with a perpetrator, often without the means of accessing support (Wendoh, 2020). Due to heightened restrictions to leave homes, many victims have limited means to seek social and professional care and support. Moreover, government and non-government services could not also prioritize their SGBV responses due to lockdown. Thus, this study aimed to develop a Virtual Support Web Application that would inform and guide victims using SGBV -related educational materials and aid victims in reaching out to organizations and law enforcement agencies for help and assistance. The proposed application is a digital-enabled multifunctional SGBV response tool called TARA. It also utilizes web analytics to create data maps on SGBV and intends to assist by providing access to Self-Care and Psycho-Social Services. TARA aims to become the key instrument for raising awareness, providing a directory and direction to law enforcement agencies to deal with new and future SGBV cases. The evaluation shows positive responses from IT and non-IT professional respondents. Evaluating the functionality, usability, and efficiency, users were satisfied with the application as the mean average of the evaluation result is interpreted as strongly agree, which is deemed satisfactory in becoming a platform for SGBV in the Philippines","tara, progressive web application, sexual and gender-based violence, agile development lifecycle, coalition against trafficking in women - asia pacific",https://ieeexplore.ieee.org/abstract/document/9915252?casa_token=-vnEOMBuA6oAAAAA:B3Iw8pvmpVjFVPTDpRNNK6TX7swDNaJpfPG4UP0GwIAO3phFijyJuqHy_5lB7LNLQ7X242peoGAt5B0
AIZA JANE SULIT,Development of Virtual Support Application for Sexual and Gender-Based Violence Victims,2022,1,"Sexual and Gender-Based Violence (SGBV) is an issue of a serious global concern. SGBV affects everyone and has severe implications on an individual's physical, mental, emotional, and sexual health. Cases of Sexual and Gender-based violence (SGBV) rise especially during pandemic. There was an increased domestic violence due to women being trapped with a perpetrator, often without the means of accessing support (Wendoh, 2020). Due to heightened restrictions to leave homes, many victims have limited means to seek social and professional care and support. Moreover, government and non-government services could not also prioritize their SGBV responses due to lockdown. Thus, this study aimed to develop a Virtual Support Web Application that would inform and guide victims using SGBV -related educational materials and aid victims in reaching out to organizations and law enforcement agencies for help and assistance. The proposed application is a digital-enabled multifunctional SGBV response tool called TARA. It also utilizes web analytics to create data maps on SGBV and intends to assist by providing access to Self-Care and Psycho-Social Services. TARA aims to become the key instrument for raising awareness, providing a directory and direction to law enforcement agencies to deal with new and future SGBV cases. The evaluation shows positive responses from IT and non-IT professional respondents. Evaluating the functionality, usability, and efficiency, users were satisfied with the application as the mean average of the evaluation result is interpreted as strongly agree, which is deemed satisfactory in becoming a platform for SGBV in the Philippines","tara, progressive web application, sexual and gender-based violence, agile development lifecycle, coalition against trafficking in women - asia pacific",https://ieeexplore.ieee.org/abstract/document/9915252?casa_token=-vnEOMBuA6oAAAAA:B3Iw8pvmpVjFVPTDpRNNK6TX7swDNaJpfPG4UP0GwIAO3phFijyJuqHy_5lB7LNLQ7X242peoGAt5B0
ROSELIA C. MORCO,PredICT: A Mobile Application for Predicting the Students’ Career Using Naive Bayes Algorithm,2019,1,"In today's competitive economy, a lot of graduating students from different programs find it hard to look for the appropriate job after graduation that is related to their undergraduate programs. The proposed PredICT mobile application using the Naïve Bayes algorithm is designed to help the students achieve their career goals by predicting the jobs depending on their skills. With the predicted job, the students can have more understanding of the required skills of the career they would most likely pursue. The result of the tests and evaluation shows that most users strongly agreed on the application's software quality","mobile application, career prediction, naive bayes algorithm",https://dl.acm.org/doi/abs/10.1145/3305160.3305169
JOHN RICHARD SANTOS,PredICT: A Mobile Application for Predicting the Students’ Career Using Naive Bayes Algorithm,2019,1,"In today's competitive economy, a lot of graduating students from different programs find it hard to look for the appropriate job after graduation that is related to their undergraduate programs. The proposed PredICT mobile application using the Naïve Bayes algorithm is designed to help the students achieve their career goals by predicting the jobs depending on their skills. With the predicted job, the students can have more understanding of the required skills of the career they would most likely pursue. The result of the tests and evaluation shows that most users strongly agreed on the application's software quality","mobile application, career prediction, naive bayes algorithm",https://dl.acm.org/doi/abs/10.1145/3305160.3305169
JANINA JASMIN CARPIO,PredICT: A Mobile Application for Predicting the Students’ Career Using Naive Bayes Algorithm,2019,1,"In today's competitive economy, a lot of graduating students from different programs find it hard to look for the appropriate job after graduation that is related to their undergraduate programs. The proposed PredICT mobile application using the Naïve Bayes algorithm is designed to help the students achieve their career goals by predicting the jobs depending on their skills. With the predicted job, the students can have more understanding of the required skills of the career they would most likely pursue. The result of the tests and evaluation shows that most users strongly agreed on the application's software quality","mobile application, career prediction, naive bayes algorithm",https://dl.acm.org/doi/abs/10.1145/3305160.3305169
HANNAH AUBREY ISANAN,PredICT: A Mobile Application for Predicting the Students’ Career Using Naive Bayes Algorithm,2019,1,"In today's competitive economy, a lot of graduating students from different programs find it hard to look for the appropriate job after graduation that is related to their undergraduate programs. The proposed PredICT mobile application using the Naïve Bayes algorithm is designed to help the students achieve their career goals by predicting the jobs depending on their skills. With the predicted job, the students can have more understanding of the required skills of the career they would most likely pursue. The result of the tests and evaluation shows that most users strongly agreed on the application's software quality","mobile application, career prediction, naive bayes algorithm",https://dl.acm.org/doi/abs/10.1145/3305160.3305169
ROSELIA C. MORCO,Data Analytics for Veterinary Clinic Using Predictive Analysis Technique and Segmentation Algorithm,2019,1,"Management Information System (MIS) is a factor that supports the decision makings of business organizations. The competition between organizations is tight in terms of services offered these days. Therefore, implementing data analytics might be a unique technique to gain a competitive advantage by offering greater benefits and services to customers. Furry Tales Veterinary Clinic is one of the animal clinics in Quezon City that offers pet services. Some issues encountered by the company involve managing medicine supplies and inefficient customer management. Because of this, an MIS was developed to help the clinic in amending the processes. Health care organization like animal clinics collects, stores, and retrieves a large number of data. This study utilizes data analytics as a business strategic technique to help the Furry tales veterinary clinic in anticipating the needs of the pet owners based on the historical medical data of the pets. A predictive analysis was being used to determine the possible trends or outcomes in the future. The segmentation algorithm for Microsoft Power BI tool was applied to cluster and transform the data collected. Based on the result of evaluation and opinions from the respondents, it was proven that MIS and data analytics could be used as a strategy to help business companies increase their revenue.","Information systems, data mining, association rules",https://dl.acm.org/doi/abs/10.1145/3305160.3305164
MARIELLA P. BUOT,Data Analytics for Veterinary Clinic Using Predictive Analysis Technique and Segmentation Algorithm,2019,1,"Management Information System (MIS) is a factor that supports the decision makings of business organizations. The competition between organizations is tight in terms of services offered these days. Therefore, implementing data analytics might be a unique technique to gain a competitive advantage by offering greater benefits and services to customers. Furry Tales Veterinary Clinic is one of the animal clinics in Quezon City that offers pet services. Some issues encountered by the company involve managing medicine supplies and inefficient customer management. Because of this, an MIS was developed to help the clinic in amending the processes. Health care organization like animal clinics collects, stores, and retrieves a large number of data. This study utilizes data analytics as a business strategic technique to help the Furry tales veterinary clinic in anticipating the needs of the pet owners based on the historical medical data of the pets. A predictive analysis was being used to determine the possible trends or outcomes in the future. The segmentation algorithm for Microsoft Power BI tool was applied to cluster and transform the data collected. Based on the result of evaluation and opinions from the respondents, it was proven that MIS and data analytics could be used as a strategy to help business companies increase their revenue.","Information systems, data mining, association rules",https://dl.acm.org/doi/abs/10.1145/3305160.3305164
